term,pidm,crn,majdesc,days,Stud.ID
201909,776303,16130,Geological Sciences, ,32
201909,776303,18947,Geological Sciences, T R,32
201909,776303,12630,Geological Sciences, T R,32
201909,776303,12736,Geological Sciences,M W,32
201909,776303,12822,Geological Sciences,M W,32
201909,776924,20502,Not in a Program, ,33
201909,778182,16266,Not in a Program,M W F,34
201909,778305,20078,Reading & Literacy B-12, T,35
201909,779713,20078,Reading & Literacy B-12, T,36
201909,785732,20170,Sociology, ,37
201909,787443,12357,Childhood/Special Education, ,38
201909,787443,12492,Childhood/Special Education, ,38
201909,789318,18157,Reading & Literacy B-12,  W,39
201909,789318,20079,Reading & Literacy B-12,  R,39
201909,793382,18150,Reading & Literacy B-12,  R,40
201909,793382,20494,Reading & Literacy B-12,M,40
201909,796940,20139,"History, Adol Educ: Soc Street", ,41
201909,796940,15402,"History, Adol Educ: Soc Street",M W,41
201909,796940,19396,"History, Adol Educ: Soc Street", T R,41
201909,796940,19509,"History, Adol Educ: Soc Street",  W,41
201909,796940,20423,"History, Adol Educ: Soc Street", T R,41
201909,796940,18240,"History, Adol Educ: Soc Street", T R,41
201909,798528,18570,Reading & Literacy B-12, T,42
201909,798528,18150,Reading & Literacy B-12,  R,42
201909,799168,20079,Reading & Literacy B-12,  R,43
201909,799325,20079,Reading & Literacy B-12,  R,44
201909,801162,15247,Music,  W F,46
201909,801162,20717,Music, ,46
201909,801162,20644,Music, ,46
201909,801162,18935,Music,M W F,46
201909,801162,20504,Music,M W,46
201909,801162,12919,Music,M W F,46
201909,801162,20016,Music,M W,46
201909,804062,13246,Geography, ,47
201909,804062,19338,Geography,  W F,47
201909,804062,17955,Geography,M W,47
201909,804062,20369,Geography, T,47
201909,804062,19483,Geography, T R,47
201909,806294,19801,"History, Adol Educ: Soc Street", ,48
201909,807552,19972,Anthropology,  W F,49
201909,807552,15413,Anthropology,  W F,49
201909,807552,20417,Anthropology, T R,49
201909,807552,12814,Anthropology,M W F,49
201909,807552,19381,Anthropology, T R,49
201909,808106,18570,Reading & Literacy B-12, T,50
201909,808106,20494,Reading & Literacy B-12,M,50
201909,808595,18160,Reading & Literacy B-12,M,51
201909,808632,18157,Reading & Literacy B-12,  W,52
201909,808632,18570,Reading & Literacy B-12, T,52
201909,811796,18570,Reading & Literacy B-12, T,53
201909,811796,20494,Reading & Literacy B-12,M,53
201909,815099,19509,History,  W,55
201909,815099,19942,History,  W F,55
201909,816301,20512,Business Administration, T R,56
201909,816301,20081,Business Administration,M W,56
201909,816301,12822,Business Administration,M W,56
201909,816301,17740,Business Administration, T R,56
201909,816301,12174,Business Administration,M W,56
201909,816905,19871,English, ,57
201909,818455,18157,Reading & Literacy B-12,  W,58
201909,818455,18570,Reading & Literacy B-12, T,58
201909,818455,20493,Reading & Literacy B-12, ,58
201909,818455,20494,Reading & Literacy B-12,M,58
201909,821211,16675,Childhood/Special Education,  W,60
201909,821211,18677,Childhood/Special Education, T R,60
201909,821211,18132,Childhood/Special Education, T R,60
201909,821211,17234,Childhood/Special Education, T R,60
201909,821211,19338,Childhood/Special Education,  W F,60
201909,822358,18157,Reading & Literacy B-12,  W,61
201909,822358,20078,Reading & Literacy B-12, T,61
201909,823058,19661,Political Science,M W,62
201909,823058,20608,Political Science,M W,62
201909,823058,12910,Political Science,M   F,62
201909,823058,20485,Political Science, T R,62
201909,823252,12579,Psychology, T R,64
201909,823252,12963,Psychology,M W F,64
201909,823252,20480,Psychology,M W F,64
201909,823252,14109,Psychology, T R,64
201909,823252,15588,Psychology,M W F,64
201909,823470,20547,Sociology,  W F,65
201909,823470,15026,Sociology,M W,65
201909,823470,18537,Sociology,  W F,65
201909,823756,20493,Reading & Literacy B-12, ,66
201909,824138,20079,Reading & Literacy B-12,  R,67
201909,824138,18160,Reading & Literacy B-12,M,67
201909,824260,15891,Early Childhood/Childhood Educ, ,68
201909,824260,15892,Early Childhood/Childhood Educ, ,68
201909,826132,18764,Anthropology,M W,70
201909,826132,12008,Anthropology, T R,70
201909,826132,19972,Anthropology,  W F,70
201909,826132,20384,Anthropology, T R,70
201909,826132,20382,Anthropology, T R,70
201909,826193,15878,"Mathematics, Adol Educ: Math", ,71
201909,826193,15879,"Mathematics, Adol Educ: Math", ,71
201909,826193,15996,"Mathematics, Adol Educ: Math", ,71
201909,826549,20493,Reading & Literacy B-12, ,72
201909,826549,18150,Reading & Literacy B-12,  R,72
201909,827015,19484,Political Science,M W,73
201909,827015,17293,Political Science, T R,73
201909,827015,20608,Political Science,M W,73
201909,827015,20583,Political Science, T R,73
201909,827134,12195,Psychology,M W F,74
201909,827134,12942,Psychology, T R,74
201909,827134,14116,Psychology, T R,74
201909,827134,19552,Psychology, T R,74
201909,827134,19349,Psychology, T R,74
201909,827328,20494,Reading & Literacy B-12,M,75
201909,827382,12895,"Chemistry, ACSC Certification", T R,76
201909,827382,17472,"Chemistry, ACSC Certification", T,76
201909,827382,12897,"Chemistry, ACSC Certification", T R,76
201909,828106,18092,English,M,77
201909,828106,20462,English,M W F,77
201909,828106,20062,English,M W,77
201909,828106,20420,English, T R,77
201909,828381,12897,Applied Physics, T R,78
201909,828381,12892,Applied Physics, T R,78
201909,832142,20698,Psychology, ,79
201909,832142,19964,Psychology,M W,79
201909,832142,20481,Psychology, T R,79
201909,832142,19353,Psychology, T R,79
201909,832142,19733,Psychology, ,79
201909,832142,12984,Psychology,M W,79
201909,833198,16675,Childhood/Special Education,  W,80
201909,833198,18677,Childhood/Special Education, T R,80
201909,833198,18132,Childhood/Special Education, T R,80
201909,833198,17950,Childhood/Special Education,M W F,80
201909,833198,17952,Childhood/Special Education,  R,80
201909,833896,12561,Business Administration, T R,82
201909,833896,12733,Business Administration, T R,82
201909,833896,12906,Business Administration, T R,82
201909,833896,12115,Business Administration, T R,82
201909,834240,16087,Accounting,M W,83
201909,834240,17367,Accounting, T,83
201909,834240,19378,Accounting, T R,83
201909,834240,20541,Accounting, T R,83
201909,834240,16088,Accounting,M W,83
201909,834333,20079,Reading & Literacy B-12,  R,84
201909,834333,20078,Reading & Literacy B-12, T,84
201909,834333,20493,Reading & Literacy B-12, ,84
201909,834333,20494,Reading & Literacy B-12,M,84
201909,834653,18157,Reading & Literacy B-12,  W,85
201909,834653,18570,Reading & Literacy B-12, T,85
201909,836010,12813,Mathematics,M W F,87
201909,836010,20415,Mathematics,M W F,87
201909,837063,18157,Reading & Literacy B-12,  W,89
201909,837063,18570,Reading & Literacy B-12, T,89
201909,837063,20079,Reading & Literacy B-12,  R,89
201909,837112,20591,International Relations, T,90
201909,837112,20451,International Relations,M   F,90
201909,837112,18053,International Relations, T R,90
201909,837112,18707,International Relations,M W F,90
201909,837112,19057,International Relations,  W F,90
201909,837112,20052,International Relations,  W,90
201909,837133,19749,Biology, ,91
201909,837133,13798,Biology, T R,91
201909,837133,13911,Biology,M W F,91
201909,837133,16931,Biology,M W F,91
201909,837133,18942,Biology, T R,91
201909,837285,12481,"French, Adol Educ: French",M W F,92
201909,837285,15731,"French, Adol Educ: French",M W,92
201909,837285,20451,"French, Adol Educ: French",M   F,92
201909,837285,19540,"French, Adol Educ: French",M W,92
201909,837409,18153,Reading & Literacy B-12, ,93
201909,837460,17438,Political Science, T R,94
201909,837460,19485,Political Science, T R,94
201909,837460,19484,Political Science,M W,94
201909,838723,18923,Reading & Literacy B-12,  W,95
201909,838723,20493,Reading & Literacy B-12, ,95
201909,838723,18153,Reading & Literacy B-12, ,95
201909,838723,18164,Reading & Literacy B-12,  R,95
201909,838774,18612,Geological Sciences, T R,96
201909,839301,18570,Reading & Literacy B-12, T,97
201909,839301,18157,Reading & Literacy B-12,  W,97
201909,839301,20494,Reading & Literacy B-12,M,97
201909,840799,19360,Psychology,M W,98
201909,840809,20079,Reading & Literacy B-12,  R,99
201909,840900,15876,"History, Adol Educ: Soc Street", ,100
201909,840900,15878,"History, Adol Educ: Soc Street", ,100
201909,840900,15879,"History, Adol Educ: Soc Street", ,100
201909,842187,18153,Reading & Literacy B-12, ,103
201909,843128,13440,Geological Sciences,M W F,104
201909,843128,18947,Geological Sciences, T R,104
201909,843128,19929,Geological Sciences,M W,104
201909,843128,14069,Geological Sciences,  F,104
201909,843128,20219,Geological Sciences, ,104
201909,843641,16345,Psychology, ,105
201909,843641,19500,Psychology, T R,105
201909,843641,16919,Psychology, T R,105
201909,843641,17354,Psychology, T R,105
201909,843641,19363,Psychology, T R,105
201909,843772,17643,Childhood/Special Education, T R,106
201909,843772,17234,Childhood/Special Education, T R,106
201909,843772,16907,Childhood/Special Education, T R,106
201909,843772,18125,Childhood/Special Education,M W,106
201909,843990,16087,Accounting,M W,107
201909,843990,17367,Accounting, T,107
201909,843990,16088,Accounting,M W,107
201909,843990,19378,Accounting, T R,107
201909,843990,20541,Accounting, T R,107
201909,844015,20543,Mathematics, T R,108
201909,844015,18022,Mathematics,M W F,108
201909,844015,18142,Mathematics, T R,108
201909,844015,19924,Mathematics,M W,108
201909,844165,18570,Reading & Literacy B-12, T,109
201909,844165,20494,Reading & Literacy B-12,M,109
201909,844526,20493,Reading & Literacy B-12, ,110
201909,844526,20494,Reading & Literacy B-12,M,110
201909,844526,18153,Reading & Literacy B-12, ,110
201909,844526,18923,Reading & Literacy B-12,  W,110
201909,844526,18164,Reading & Literacy B-12,  R,110
201909,845660,17584,Biology, ,111
201909,845660,20431,Biology,M,111
201909,845660,17444,Biology, T R,111
201909,845660,17446,Biology,  W,111
201909,845660,17413,Biology, T,111
201909,845660,17412,Biology,M W F,111
201909,845660,12850,Biology, T,111
201909,845660,19413,Biology,M W,111
201909,845831,18677,Childhood/Special Education, T R,112
201909,845831,18132,Childhood/Special Education, T R,112
201909,845882,20542,Mathematics,M W,113
201909,845882,13459,Mathematics,M W F,113
201909,845882,18022,Mathematics,M W F,113
201909,845882,20417,Mathematics, T R,113
201909,845907,18096,International Relations, T R,114
201909,845907,20032,International Relations, T R,114
201909,845907,20163,International Relations, ,114
201909,845907,18707,International Relations,M W F,114
201909,845907,19481,International Relations,M W F,114
201909,845970,12814,Mathematics,M W F,115
201909,845970,13459,Mathematics,M W F,115
201909,845970,18942,Mathematics, T R,115
201909,845970,19762,Mathematics, ,115
201909,847115,15878,"English, Adol Educ: English", ,116
201909,847115,15879,"English, Adol Educ: English", ,116
201909,847115,15998,"English, Adol Educ: English", ,116
201909,847140,18153,Reading & Literacy B-12, ,117
201909,847140,18164,Reading & Literacy B-12,  R,117
201909,847140,18923,Reading & Literacy B-12,  W,117
201909,847140,20078,Reading & Literacy B-12, T,117
201909,847140,20493,Reading & Literacy B-12, ,117
201909,847297,12582,Accounting, T R,118
201909,847297,12850,Accounting, T,118
201909,847297,12153,Accounting, T R,118
201909,847297,12122,Accounting,M W,118
201909,847297,12124,Accounting, T R,118
201909,847864,12356,Childhood/Special Education, ,119
201909,847864,12492,Childhood/Special Education, ,119
201909,847922,20465,History, T,120
201909,847922,13610,History,M W,120
201909,847922,20423,History, T R,120
201909,848003,18157,Reading & Literacy B-12,  W,121
201909,848003,18570,Reading & Literacy B-12, T,121
201909,848003,20079,Reading & Literacy B-12,  R,121
201909,848003,20494,Reading & Literacy B-12,M,121
201909,848326,20484,Not in a Program,M W,122
201909,848326,16267,Not in a Program,M W F,122
201909,848366,20448,English, T R,123
201909,848506,12090,Biology, T R,124
201909,848506,17284,Biology,M   F,124
201909,848506,16643,Biology,  W,124
201909,848506,18562,Biology,M W F,124
201909,848506,18125,Biology,M W,124
201909,848982,15878,"English, Adol Educ: English", ,125
201909,848982,15879,"English, Adol Educ: English", ,125
201909,848982,15998,"English, Adol Educ: English", ,125
201909,849015,17433,History,M W F,126
201909,849015,17435,History, T,126
201909,849015,19396,History, T R,126
201909,849015,19751,History, ,126
201909,849015,19716,History, ,126
201909,849015,17811,History,  W F,126
201909,849015,20052,History,  W,126
201909,849034,15878,"English, Adol Educ: English", ,127
201909,849034,15879,"English, Adol Educ: English", ,127
201909,849034,15998,"English, Adol Educ: English", ,127
201909,849040,20489,"History, Adol Educ: Soc Street",M,128
201909,849040,12592,"History, Adol Educ: Soc Street",M W,128
201909,849040,20423,"History, Adol Educ: Soc Street", T R,128
201909,849040,19136,"History, Adol Educ: Soc Street", T,128
201909,849345,20140,Communication,M W,129
201909,849345,16582,Communication,M W F,129
201909,849345,20495,Communication, T R,129
201909,849345,20591,Communication, T,129
201909,849345,12944,Communication, T R,129
201909,849387,12208,Physics,M W F,130
201909,849387,17848,Physics,M W F,130
201909,849387,12731,Physics, T R,130
201909,849387,12895,Physics, T R,130
201909,849389,15876,"History, Adol Educ: Soc Street", ,131
201909,849389,15878,"History, Adol Educ: Soc Street", ,131
201909,849389,15879,"History, Adol Educ: Soc Street", ,131
201909,849391,18153,Reading & Literacy B-12, ,132
201909,849391,18923,Reading & Literacy B-12,  W,132
201909,849391,20493,Reading & Literacy B-12, ,132
201909,849391,18150,Reading & Literacy B-12,  R,132
201909,849391,20078,Reading & Literacy B-12, T,132
201909,849393,17284,Biology,M   F,133
201909,849393,18909,Biology,M W F,133
201909,849393,14609,Biology,  W,133
201909,849393,18017,Biology,  W,133
201909,849493,18570,Reading & Literacy B-12, T,134
201909,849493,20493,Reading & Literacy B-12, ,134
201909,849626,14319,Accounting, ,135
201909,849626,16087,Accounting,M W,135
201909,849626,17367,Accounting, T,135
201909,849626,20084,Accounting, T R,135
201909,849626,16088,Accounting,M W,135
201909,849626,19378,Accounting, T R,135
201909,849628,12356,Childhood/Special Education, ,136
201909,849628,12492,Childhood/Special Education, ,136
201909,849680,15878,"Mathematics, Adol Educ: Math", ,137
201909,849680,15879,"Mathematics, Adol Educ: Math", ,137
201909,849680,15996,"Mathematics, Adol Educ: Math", ,137
201909,849727,12814,Applied Mathematics,M W F,138
201909,849727,20414,Applied Mathematics,M W F,138
201909,849727,19737,Applied Mathematics, ,138
201909,849727,12846,Applied Mathematics,M W,138
201909,849727,12848,Applied Mathematics,M,138
201909,849727,13311,Applied Mathematics, ,138
201909,849727,18985,Applied Mathematics,M W F,138
201909,849727,17033,Applied Mathematics, ,138
201909,849787,14069,Geological Sciences,  F,139
201909,849787,19929,Geological Sciences,M W,139
201909,849787,13440,Geological Sciences,M W F,139
201909,849787,19509,Geological Sciences,  W,139
201909,849787,16631,Geological Sciences, T R,139
201909,849787,16645,Geological Sciences,  R,139
201909,849854,19436,English,M W,140
201909,849854,17433,English,M W F,140
201909,849854,17435,English, T,140
201909,849854,19414,English, T R,140
201909,849854,18574,English, T R,140
201909,849932,19985,Early Childhood/Childhood Educ,M W F,141
201909,849932,18945,Early Childhood/Childhood Educ,  W,141
201909,849932,17438,Early Childhood/Childhood Educ, T R,141
201909,849932,14113,Early Childhood/Childhood Educ,M W F,141
201909,849932,20597,Early Childhood/Childhood Educ, T R,141
201909,849932,18927,Early Childhood/Childhood Educ, T R,141
201909,849936,19026,Musical Theatre, ,142
201909,849936,20132,Musical Theatre, T R,142
201909,849936,20134,Musical Theatre,M W,142
201909,849936,20136,Musical Theatre,  F,142
201909,849936,20277,Musical Theatre, ,142
201909,849936,19159,Musical Theatre, ,142
201909,849936,17944,Musical Theatre, ,142
201909,849936,19492,Musical Theatre, T R,142
201909,849936,20005,Musical Theatre, T,142
201909,849937,20056,Psychology,M W,143
201909,849937,19966,Psychology, T R,143
201909,849937,20479,Psychology,M W F,143
201909,849937,17857,Psychology,  F,143
201909,849937,12283,Psychology, T R,143
201909,849983,18977,Economics, T R,145
201909,849983,20487,Economics, T R,145
201909,849983,16023,Economics, T R,145
201909,849983,20486,Economics,M W,145
201909,849983,16302,Economics, ,145
201909,850054,19535,Neuroscience,  W,146
201909,850054,19774,Neuroscience, ,146
201909,850054,20472,Neuroscience, ,146
201909,850054,20473,Neuroscience,  W,146
201909,850054,20059,Neuroscience, T R,146
201909,850054,20477,Neuroscience, T R,146
201909,850054,19350,Neuroscience, T R,146
201909,850086,15878,"Mathematics, Adol Educ: Math", ,147
201909,850086,15879,"Mathematics, Adol Educ: Math", ,147
201909,850086,15996,"Mathematics, Adol Educ: Math", ,147
201909,850088,12090,Biochemistry, T R,148
201909,850088,18016,Biochemistry, T R,148
201909,850088,20643,Biochemistry, ,148
201909,850088,18935,Biochemistry,M W F,148
201909,850088,12994,Biochemistry,M W,148
201909,850099,15878,"English, Adol Educ: English", ,149
201909,850099,15879,"English, Adol Educ: English", ,149
201909,850099,15998,"English, Adol Educ: English", ,149
201909,850161,12492,Childhood/Special Education, ,150
201909,850161,18247,Childhood/Special Education, ,150
201909,850244,16947,Biology,M   F,151
201909,850244,20428,Biology,M W F,151
201909,850244,12090,Biology, T R,151
201909,850244,20373,Biology, ,151
201909,850244,20672,Biology, ,151
201909,850332,18153,Reading & Literacy B-12, ,152
201909,850332,18164,Reading & Literacy B-12,  R,152
201909,850332,18923,Reading & Literacy B-12,  W,152
201909,850332,20078,Reading & Literacy B-12, T,152
201909,850393,12356,Childhood/Special Education, ,153
201909,850393,12492,Childhood/Special Education, ,153
201909,850857,18164,Adolescence Educ:Soc Studies,  R,154
201909,850857,20494,Adolescence Educ:Soc Studies,M,154
201909,850857,20675,Adolescence Educ:Soc Studies, ,154
201909,850857,19601,Adolescence Educ:Soc Studies, ,154
201909,850871,20512,Mathematics, T R,155
201909,850871,12813,Mathematics,M W F,155
201909,850871,12822,Mathematics,M W,155
201909,850871,16989,Mathematics, T R,155
201909,851123,19975,Anthropology, T R,156
201909,851123,20383,Anthropology, T R,156
201909,851123,18764,Anthropology,M W,156
201909,851123,19973,Anthropology,  W F,156
201909,851131,12124,Accounting, T R,157
201909,851131,17482,Accounting,M,157
201909,851131,12174,Accounting,M W,157
201909,851131,18749,Accounting, T R,157
201909,851131,16301,Accounting, ,157
201909,851160,19710,Political Science, ,158
201909,851160,20457,Political Science,M W,158
201909,851160,20626,Political Science, ,158
201909,851160,20544,Political Science, T R,158
201909,851160,12994,Political Science,M W,158
201909,851317,20086,Communication, T,159
201909,851317,20338,Communication, ,159
201909,851331,12210,"Chemistry, ACSC Certification",  F,160
201909,851331,19237,"Chemistry, ACSC Certification", ,160
201909,851331,12895,"Chemistry, ACSC Certification", T R,160
201909,851331,18139,"Chemistry, ACSC Certification",M W,160
201909,851331,16109,"Chemistry, ACSC Certification",M,160
201909,851331,12111,"Chemistry, ACSC Certification",M W,160
201909,851402,17472,Physics, T,162
201909,851402,12897,Physics, T R,162
201909,851498,16087,Accounting,M W,163
201909,851498,17367,Accounting, T,163
201909,851498,19378,Accounting, T R,163
201909,851498,16088,Accounting,M W,163
201909,851498,20541,Accounting, T R,163
201909,852071,18153,Reading & Literacy B-12, ,164
201909,852071,18923,Reading & Literacy B-12,  W,164
201909,852075,18092,English,M,165
201909,852075,18109,English,M   F,165
201909,852075,20465,English, T,165
201909,852075,13114,English,M W,165
201909,853036,19571,Psychology, T R,166
201909,853036,19965,Psychology, T R,166
201909,853036,19344,Psychology, T R,166
201909,853176,19571,English, T R,167
201909,853176,20001,English,  W,167
201909,853176,20512,English, T R,167
201909,853176,20031,English, T R,167
201909,853180,19865,English, ,168
201909,853180,20508,English, T R,168
201909,853180,19442,English, T R,168
201909,853180,20440,English, T R,168
201909,853180,20442,English, T R,168
201909,853317,18707,Communication,M W F,169
201909,853317,20608,Communication,M W,169
201909,853317,19483,Communication, T R,169
201909,853317,19344,Communication, T R,169
201909,853319,19997,Psychology, T R,170
201909,853319,12733,Psychology, T R,170
201909,853319,14109,Psychology, T R,170
201909,853319,19349,Psychology, T R,170
201909,853488,15876,"History, Adol Educ: Soc Street", ,171
201909,853488,15878,"History, Adol Educ: Soc Street", ,171
201909,853488,15879,"History, Adol Educ: Soc Street", ,171
201909,853833,19502,International Relations,M   F,172
201909,853833,20031,International Relations, T R,172
201909,853833,20465,International Relations, T,172
201909,853833,19436,International Relations,M W,172
201909,853834,18756,Business Administration,M W,173
201909,853834,18541,Business Administration, T R,173
201909,853834,19373,Business Administration, T R,173
201909,853834,12175,Business Administration,M W,173
201909,853870,17284,Applied Mathematics,M   F,174
201909,853870,12813,Applied Mathematics,M W F,174
201909,853870,12814,Applied Mathematics,M W F,174
201909,853870,12815,Applied Mathematics, T R,174
201909,853870,20415,Applied Mathematics,M W F,174
201909,853872,19326,Mathematics, ,175
201909,853872,12481,Mathematics,M W F,175
201909,853872,12600,Mathematics,  W F,175
201909,853872,14559,Mathematics,M W F,175
201909,853886,12477,Mathematics, T R,176
201909,853886,13459,Mathematics,M W F,176
201909,853886,20414,Mathematics,M W F,176
201909,853886,20011,Mathematics,M W,176
201909,853896,16381,Psychology, ,177
201909,853896,20569,Psychology, T R,177
201909,853896,15026,Psychology,M W,177
201909,853896,19346,Psychology, T R,177
201909,853896,20325,Psychology, ,177
201909,853896,20544,Psychology, T R,177
201909,854260,12090,Biochemistry, T R,178
201909,854260,16280,Biochemistry, T R,178
201909,854260,18920,Biochemistry, T,178
201909,854260,14593,Biochemistry,  F,178
201909,854260,20595,Biochemistry, ,178
201909,854334,20464,English, T R,179
201909,854334,18053,English, T R,179
201909,854334,19485,English, T R,179
201909,854334,20053,English,M W F,179
201909,854334,19717,English, ,179
201909,854384,16087,Accounting,M W,180
201909,854384,16088,Accounting,M W,180
201909,854384,17367,Accounting, T,180
201909,854384,19378,Accounting, T R,180
201909,854384,20541,Accounting, T R,180
201909,854460,18153,Reading & Literacy B-12, ,181
201909,854460,18160,Reading & Literacy B-12,M,181
201909,854460,18164,Reading & Literacy B-12,  R,181
201909,854460,20078,Reading & Literacy B-12, T,181
201909,854460,20493,Reading & Literacy B-12, ,181
201909,854682,12742,Geological Sciences,M W F,182
201909,854682,12592,Geological Sciences,M W,182
201909,854682,17414,Geological Sciences, T,182
201909,854682,12630,Geological Sciences, T R,182
201909,854682,17412,Geological Sciences,M W F,182
201909,854798,19627,Communication,M W F,183
201909,854798,20519,Communication, ,183
201909,854798,12229,Communication,M,183
201909,854798,19572,Communication,  W,183
201909,854817,17234,International Relations, T R,184
201909,854817,17796,International Relations,M W,184
201909,854817,20486,International Relations,M W,184
201909,854817,19596,International Relations, T R,184
201909,854925,20449,International Relations, T R,185
201909,854925,17493,International Relations,M W,185
201909,854925,18977,International Relations, T R,185
201909,854925,19374,International Relations,M W,185
201909,855030,17234,Sociology, T R,186
201909,855030,12592,Sociology,M W,186
201909,855030,18537,Sociology,  W F,186
201909,855030,20544,Sociology, T R,186
201909,855030,20546,Sociology,M W,186
201909,855030,20677,Sociology, ,186
201909,857317,19675,Psychology, ,188
201909,857317,19580,Psychology,M W,188
201909,857317,12671,Psychology, T R,188
201909,857317,19964,Psychology,M W,188
201909,857317,19965,Psychology, T R,188
201909,857326,12761,Physics, T R,189
201909,857326,20326,Physics, ,189
201909,857326,12893,Physics,M W F,189
201909,857326,12895,Physics, T R,189
201909,857326,12896,Physics,  R,189
201909,857333,20527,Sociology,M W F,190
201909,857333,13610,Sociology,M W,190
201909,857333,19398,Sociology,  W,190
201909,857333,18125,Sociology,M W,190
201909,857339,12814,Physics,M W F,191
201909,857339,13459,Physics,M W F,191
201909,857339,17183,Physics, ,191
201909,857339,12893,Physics,M W F,191
201909,857367,18153,Reading & Literacy B-12, ,192
201909,857367,18923,Reading & Literacy B-12,  W,192
201909,857367,20493,Reading & Literacy B-12, ,192
201909,857367,18164,Reading & Literacy B-12,  R,192
201909,857454,16798,"Biology,Adol Educ:Biol&Gen Sci",  R,193
201909,857454,20120,"Biology,Adol Educ:Biol&Gen Sci", T R,193
201909,857454,12679,"Biology,Adol Educ:Biol&Gen Sci",M W,193
201909,857454,15737,"Biology,Adol Educ:Biol&Gen Sci",M W,193
201909,857454,16631,"Biology,Adol Educ:Biol&Gen Sci", T R,193
201909,857454,16637,"Biology,Adol Educ:Biol&Gen Sci", T,193
201909,857454,19540,"Biology,Adol Educ:Biol&Gen Sci",M W,193
201909,857546,18153,Reading & Literacy B-12, ,194
201909,857546,18923,Reading & Literacy B-12,  W,194
201909,857546,20078,Reading & Literacy B-12, T,194
201909,857546,20494,Reading & Literacy B-12,M,194
201909,857546,18164,Reading & Literacy B-12,  R,194
201909,857578,18153,Reading & Literacy B-12, ,195
201909,857578,18923,Reading & Literacy B-12,  W,195
201909,857578,18164,Reading & Literacy B-12,  R,195
201909,857632,20357,Biology,M W F,196
201909,857632,17412,Biology,M W F,196
